grandprix,year,driver_name,driver_code,driver_number,track,track_type,wet_dry,fastest_lap_time,avg_lap_time,avg_sector_1_time,avg_sector_2_time,avg_sector_3_time,pitstops,grid_position,finished_position,recent_form_5,recent_form_3,recent_podiums_5,recent_wins_5,avg_finish,finish_std,race_count,avg_grid,grid_std,avg_fastest_lap,avg_pitstops,podium_count,podium_rate,win_count,win_rate,dnf_count,dnf_rate,track_avg_finish,track_race_count,track_avg_grid,track_avg_fastest_lap,track_podium_count,track_podium_rate,track_encoded,driver_encoded,track_type_encoded,wet_dry_encoded,grid_advantage,consistency_score,performance_momentum,quali_vs_race_gap,finished_position_clean
Hungarian Grand Prix,2025,Liam LAWSON,LAW,30,Hungaroring,circuit,dry,80.457,82.31695588,29.84868116,29.5694058,23.17302899,1,9,8,12.66666667,12.66666667,0,0,11.77777778,3.576992004,27,13.03125,4.547132205,87.52658065,1.84375,0,0,0,0,5,0.185185185,8,1,9,80.457,0,0,3,17,0,0,1.432005495,0.218484105,-0.069565217,-1,8
Italian Grand Prix,2025,Liam LAWSON,LAW,30,Monza,circuit,dry,82.777,84.07792157,27.82234615,28.76523077,27.89553846,1,20,14,11.5,11.33333333,0,0,11.77777778,3.576992004,27,13.03125,4.547132205,87.52658065,1.84375,0,0,0,0,5,0.185185185,12.5,2,16,84.3095,0,0,14,17,0,0,0.648320896,0.218484105,0.02173913,-6,14
Japanese Grand Prix,2025,Liam LAWSON,LAW,30,Suzuka,circuit,dry,92.043,93.96113725,33.57692,42.52732692,18.27346154,1,14,17,12,12,0,0,11.77777778,3.576992004,27,13.03125,4.547132205,87.52658065,1.84375,0,0,0,0,5,0.185185185,14,2,12.5,95.155,0,0,21,17,0,0,0.924202128,0.218484105,-0.017391304,3,17
Mexico City Grand Prix,2025,Liam LAWSON,LAW,30,Mexico City,circuit,dry,85.124,89.897,38.2485,33.50825,25.28025,1,15,,13,13,0,0,11.77777778,3.576992004,27,13.03125,4.547132205,87.52658065,1.84375,0,0,0,0,5,0.185185185,16,1,13.5,82.313,0,0,10,17,0,0,0.862996689,0.218484105,-0.095652174,,25
Miami Grand Prix,2025,Liam LAWSON,LAW,30,Miami,street,wet,91.77,98.79325,33.93233333,37.38238462,29.14384615,1,15,,13.25,15.5,0,0,11.77777778,3.576992004,27,13.03125,4.547132205,87.52658065,1.84375,0,0,0,0,5,0.185185185,0,0,15,91.77,0,0,11,17,1,1,0.862996689,0.218484105,-0.115217391,,25
Monaco Grand Prix,2025,Liam LAWSON,LAW,30,Monte Carlo,circuit,dry,75.321,79.05381081,20.76721053,37.06040789,21.25219737,2,9,8,13,17,0,0,11.77777778,3.576992004,27,13.03125,4.547132205,87.52658065,1.84375,0,0,0,0,5,0.185185185,8,1,9,75.321,0,0,12,17,0,0,1.432005495,0.218484105,-0.095652174,-1,8
Saudi Arabian Grand Prix,2025,Liam LAWSON,LAW,30,Jeddah,street,dry,92.998,97.50677083,36.4867551,30.38093878,30.93073469,1,12,12,13,8,0,0,11.77777778,3.576992004,27,13.03125,4.547132205,87.52658065,1.84375,0,0,0,0,5,0.185185185,12,1,12,92.998,0,0,6,17,1,0,1.07696281,0.218484105,-0.095652174,0,12
Singapore Grand Prix,2025,Liam LAWSON,LAW,30,Singapore,street,wet,95.641,98.67652542,29.33263333,41.73405,27.89283333,1,12,15,12.33333333,10,0,0,11.77777778,3.576992004,27,13.03125,4.547132205,87.52658065,1.84375,0,0,0,0,5,0.185185185,12,2,11,97.3345,0,0,18,17,1,1,1.07696281,0.218484105,-0.043478261,3,15
Spanish Grand Prix,2025,Liam LAWSON,LAW,30,Catalunya,circuit,dry,79.424,84.33798413,25.3566,34.03109231,25.42698462,2,13,11,11.66666667,11.66666667,0,0,11.77777778,3.576992004,27,13.03125,4.547132205,87.52658065,1.84375,0,0,0,0,5,0.185185185,11,1,13,79.424,0,0,2,17,0,0,0.994751908,0.218484105,0.008695652,-2,11
São Paulo Grand Prix,2025,Liam LAWSON,LAW,30,Interlagos,circuit,dry,74.029,78.42233333,20.12914925,40.69701515,17.82956716,1,7,7,11.5,12.66666667,0,0,11.77777778,3.576992004,27,13.03125,4.547132205,87.52658065,1.84375,0,0,0,0,5,0.185185185,8,2,6,78.076,0,0,5,17,0,0,1.835387324,0.218484105,0.02173913,0,7
United States Grand Prix,2025,Liam LAWSON,LAW,30,Austin,circuit,dry,98.983,101.5810926,27.35589091,40.63736364,33.91858182,1,12,11,10.6,11,0,0,11.77777778,3.576992004,27,13.03125,4.547132205,87.52658065,1.84375,0,0,0,0,5,0.185185185,10,2,13.5,98.537,0,0,0,17,0,0,1.07696281,0.218484105,0.092173913,-1,11
Abu Dhabi Grand Prix,2023,Logan SARGEANT,SAR,2,Yas Marina Circuit,circuit,dry,88.58,90.66294545,18.957,38.4607193,33.95759649,2,,16,0,0,0,0,15.76666667,2.87298155,30,16.8,3.241966198,88.3685,2,0,0,0,0,6,0.2,16,1,0,88.58,0,0,22,18,0,0,,0.258199009,0.940357853,,16
Australian Grand Prix,2023,Logan SARGEANT,SAR,2,Melbourne,street,dry,81.456,112.9522449,31.26098148,20.55750909,40.05309615,6,18,16,16,16,0,0,15.76666667,2.87298155,30,16.8,3.241966198,88.3685,2,0,0,0,0,6,0.2,16,1,18,81.456,0,0,9,18,1,0,0.928176796,0.258199009,-0.013916501,-2,16
Austrian Grand Prix,2023,Logan SARGEANT,SAR,2,Spielberg,circuit,wet,69.611,72.00536364,18.56145588,32.32417391,22.31033333,3,18,13,16,16,0,0,15.76666667,2.87298155,30,16.8,3.241966198,88.3685,2,0,0,0,0,6,0.2,16,2,18.5,70.0085,0,0,20,18,0,1,0.928176796,0.258199009,-0.013916501,-5,13
Azerbaijan Grand Prix,2023,Logan SARGEANT,SAR,2,Baku,street,dry,106.501,110.5848367,39.6373,45.00972,26.24096,1,15,16,15,15,0,0,15.76666667,2.87298155,30,16.8,3.241966198,88.3685,2,0,0,0,0,6,0.2,16,1,15,106.501,0,0,1,18,1,0,1.112582781,0.258199009,0.045725646,1,16
Bahrain Grand Prix,2023,Logan SARGEANT,SAR,2,Sakhir,circuit,dry,96.037,99.34317308,32.62481818,43.34352727,24.5956,3,16,12,15.25,15,0,0,15.76666667,2.87298155,30,16.8,3.241966198,88.3685,2,0,0,0,0,6,0.2,16,2,17,95.386,0,0,15,18,0,0,1.043478261,0.258199009,0.030815109,-4,12
Belgian Grand Prix,2023,Logan SARGEANT,SAR,2,Spa-Francorchamps,circuit,wet,110.236,113.89705,32.87393023,51.0162093,30.8204186,3,18,17,14.6,13.66666667,0,0,15.76666667,2.87298155,30,16.8,3.241966198,88.3685,2,0,0,0,0,6,0.2,17,2,18.5,108.863,0,0,19,18,0,1,0.928176796,0.258199009,0.069582505,-1,17
British Grand Prix,2023,Logan SARGEANT,SAR,2,Silverstone,circuit,dry,91.699,98.48108,31.72135294,39.75503922,27.28396078,1,14,11,14.8,15,0,0,15.76666667,2.87298155,30,16.8,3.241966198,88.3685,2,0,0,0,0,6,0.2,11,2,13,90.8355,0,0,17,18,0,0,1.191489362,0.258199009,0.057654076,-3,11
Canadian Grand Prix,2023,Logan SARGEANT,SAR,2,Montreal,circuit,dry,78.437,79.4078,22.7966,25.2898,31.3214,0,19,,13.8,13.33333333,0,0,15.76666667,2.87298155,30,16.8,3.241966198,88.3685,2,0,0,0,0,6,0.2,0,0,16,82.4605,0,0,13,18,0,0,0.879581152,0.258199009,0.117296223,,25
Dutch Grand Prix,2023,Logan SARGEANT,SAR,2,Zandvoort,circuit,wet,77.399,92.50815385,30.79130769,32.59623077,29.12061538,0,10,,14,14,0,0,15.76666667,2.87298155,30,16.8,3.241966198,88.3685,2,0,0,0,0,6,0.2,16,1,10,76.469,0,0,23,18,0,1,1.663366337,0.258199009,0.105367793,,25
Hungarian Grand Prix,2023,Logan SARGEANT,SAR,2,Hungaroring,circuit,dry,83.496,85.67821875,31.14030303,30.90757576,24.19145455,2,20,18,13.33333333,11,0,0,15.76666667,2.87298155,30,16.8,3.241966198,88.3685,2,0,0,0,0,6,0.2,17.5,2,17,82.0285,0,0,3,18,0,0,0.835820896,0.258199009,0.145129225,-2,18
Italian Grand Prix,2023,Logan SARGEANT,SAR,2,Monza,circuit,dry,86.84,87.59277083,28.72802041,30.26983673,28.99891837,1,15,13,15.33333333,18,0,0,15.76666667,2.87298155,30,16.8,3.241966198,88.3685,2,0,0,0,0,6,0.2,13,1,15,86.84,0,0,14,18,0,0,1.112582781,0.258199009,0.02584493,-2,13
Japanese Grand Prix,2023,Logan SARGEANT,SAR,2,Suzuka,circuit,dry,98.848,108.6325556,44.19985714,48.28495238,22.02704762,3,,,14,15.5,0,0,15.76666667,2.87298155,30,16.8,3.241966198,88.3685,2,0,0,0,0,6,0.2,17,1,19,96.874,0,0,21,18,0,0,,0.258199009,0.105367793,,25
Las Vegas Grand Prix,2023,Logan SARGEANT,SAR,2,Las Vegas,street,dry,97.74,107.6483333,31.08038776,36.08983673,40.65895918,1,7,16,15.5,15.5,0,0,15.76666667,2.87298155,30,16.8,3.241966198,88.3685,2,0,0,0,0,6,0.2,16,1,7,97.74,0,0,7,18,1,0,2.366197183,0.258199009,0.015904573,9,16
Mexico City Grand Prix,2023,Logan SARGEANT,SAR,2,Mexico City,circuit,dry,83.003,86.61761194,30.51101493,33.99118841,22.79824638,2,,16,15.66666667,14.5,0,0,15.76666667,2.87298155,30,16.8,3.241966198,88.3685,2,0,0,0,0,6,0.2,16,1,0,83.003,0,0,10,18,0,0,,0.258199009,0.005964215,,16
Miami Grand Prix,2023,Logan SARGEANT,SAR,2,Miami,street,dry,92.384,93.52153704,32.73112727,35.34901818,26.20690909,1,20,20,15.75,16,0,0,15.76666667,2.87298155,30,16.8,3.241966198,88.3685,2,0,0,0,0,6,0.2,20,1,18.5,92.918,0,0,11,18,1,0,0.835820896,0.258199009,0.000994036,0,20
Monaco Grand Prix,2023,Logan SARGEANT,SAR,2,Monte Carlo,circuit,wet,77.302,86.70701389,22.89856,40.80432,23.06077333,3,16,18,16.25,17.33333333,0,0,15.76666667,2.87298155,30,16.8,3.241966198,88.3685,2,0,0,0,0,6,0.2,16.5,2,15.5,76.4135,0,0,12,18,0,1,1.043478261,0.258199009,-0.028827038,2,18
Qatar Grand Prix,2023,Logan SARGEANT,SAR,2,Lusail,circuit,dry,87.983,95.023,35.73489744,31.56633333,28.6735641,2,16,,17.5,18,0,0,15.76666667,2.87298155,30,16.8,3.241966198,88.3685,2,0,0,0,0,6,0.2,0,0,16,87.983,0,0,8,18,0,0,1.043478261,0.258199009,-0.103379722,,25
Saudi Arabian Grand Prix,2023,Logan SARGEANT,SAR,2,Jeddah,street,dry,94.469,98.15177083,36.8552449,30.79065306,31.4137551,1,,16,17.5,19,0,0,15.76666667,2.87298155,30,16.8,3.241966198,88.3685,2,0,0,0,0,6,0.2,15,2,19,93.7475,0,0,6,18,1,0,,0.258199009,-0.103379722,,16
Singapore Grand Prix,2023,Logan SARGEANT,SAR,2,Singapore,street,dry,98.531,102.137339,29.93433333,44.1705082,29.14218033,2,18,14,17.5,17,0,0,15.76666667,2.87298155,30,16.8,3.241966198,88.3685,2,0,0,0,0,6,0.2,14,1,18,98.531,0,0,18,18,1,0,0.928176796,0.258199009,-0.103379722,-4,14
Spanish Grand Prix,2023,Logan SARGEANT,SAR,2,Catalunya,circuit,dry,79.247,81.16182258,24.62531746,32.638375,24.55421875,2,20,20,17,15,0,0,15.76666667,2.87298155,30,16.8,3.241966198,88.3685,2,0,0,0,0,6,0.2,20,2,20,79.7095,0,0,2,18,0,0,0.835820896,0.258199009,-0.073558648,0,20
São Paulo Grand Prix,2023,Logan SARGEANT,SAR,2,Interlagos,circuit,wet,75.738,76.94521538,20.52282353,39.83949275,18.90595652,4,19,11,17,16.66666667,0,0,15.76666667,2.87298155,30,16.8,3.241966198,88.3685,2,0,0,0,0,6,0.2,11,1,19,75.738,0,0,5,18,0,1,0.879581152,0.258199009,-0.073558648,-8,11
United States Grand Prix,2023,Logan SARGEANT,SAR,2,Austin,circuit,dry,101.238,102.8313396,28.48862963,41.13989091,33.97410909,2,20,10,15.25,15,0,0,15.76666667,2.87298155,30,16.8,3.241966198,88.3685,2,0,0,0,0,6,0.2,10,1,20,101.238,0,0,0,18,0,0,0.835820896,0.258199009,0.030815109,-10,10
Austrian Grand Prix,2024,Logan SARGEANT,SAR,2,Spielberg,circuit,wet,70.406,72.39172308,18.80430882,32.42445588,22.07273529,3,19,19,14.2,13.66666667,0,0,15.76666667,2.87298155,30,16.8,3.241966198,88.3685,2,0,0,0,0,6,0.2,16,2,18.5,70.0085,0,0,20,18,0,1,0.879581152,0.258199009,0.093439364,0,19
Bahrain Grand Prix,2024,Logan SARGEANT,SAR,2,Sakhir,circuit,dry,94.735,98.9277451,33.56296296,42.47761111,24.32268519,3,18,20,14.8,13.33333333,0,0,15.76666667,2.87298155,30,16.8,3.241966198,88.3685,2,0,0,0,0,6,0.2,16,2,17,95.386,0,0,15,18,0,0,0.928176796,0.258199009,0.057654076,2,20
Belgian Grand Prix,2024,Logan SARGEANT,SAR,2,Spa-Francorchamps,circuit,dry,107.49,110.077561,31.89927907,49.29372093,29.52576744,2,19,17,16,16.33333333,0,0,15.76666667,2.87298155,30,16.8,3.241966198,88.3685,2,0,0,0,0,6,0.2,17,2,18.5,108.863,0,0,19,18,0,0,0.879581152,0.258199009,-0.013916501,-2,17
British Grand Prix,2024,Logan SARGEANT,SAR,2,Silverstone,circuit,wet,89.972,95.75530612,31.4677451,38.88333333,26.39886275,2,12,11,15.4,18.66666667,0,0,15.76666667,2.87298155,30,16.8,3.241966198,88.3685,2,0,0,0,0,6,0.2,11,2,13,90.8355,0,0,17,18,0,1,1.388429752,0.258199009,0.021868787,-1,11
Canadian Grand Prix,2024,Logan SARGEANT,SAR,2,Montreal,circuit,wet,86.484,93.03790909,27.475,30.35645455,35.20645455,0,13,,15.4,16,0,0,15.76666667,2.87298155,30,16.8,3.241966198,88.3685,2,0,0,0,0,6,0.2,0,0,16,82.4605,0,0,13,18,0,1,1.282442748,0.258199009,0.021868787,,25
Chinese Grand Prix,2024,Logan SARGEANT,SAR,2,Shanghai,circuit,dry,101,109.0293019,29.26158182,32.95910909,47.33447273,2,20,17,16.75,14,0,0,15.76666667,2.87298155,30,16.8,3.241966198,88.3685,2,0,0,0,0,6,0.2,17,1,20,101,0,0,16,18,0,0,0.835820896,0.258199009,-0.058648111,-3,17
Dutch Grand Prix,2024,Logan SARGEANT,SAR,2,Zandvoort,circuit,dry,75.539,77.16856522,26.39294286,28.00971429,23.03974286,1,,16,16.25,14,0,0,15.76666667,2.87298155,30,16.8,3.241966198,88.3685,2,0,0,0,0,6,0.2,16,1,10,76.469,0,0,23,18,0,0,,0.258199009,-0.028827038,,16
Emilia Romagna Grand Prix,2024,Logan SARGEANT,SAR,2,Imola,circuit,dry,81.229,82.91691667,26.56772131,28.96544262,27.79842623,1,,17,15.25,16.5,0,0,15.76666667,2.87298155,30,16.8,3.241966198,88.3685,2,0,0,0,0,6,0.2,17,1,0,81.229,0,0,4,18,0,0,,0.258199009,0.030815109,,17
Hungarian Grand Prix,2024,Logan SARGEANT,SAR,2,Hungaroring,circuit,dry,80.561,85.11524615,31.12051471,30.53820588,24.17888235,3,14,17,15.25,16.66666667,0,0,15.76666667,2.87298155,30,16.8,3.241966198,88.3685,2,0,0,0,0,6,0.2,17.5,2,17,82.0285,0,0,3,18,0,0,1.191489362,0.258199009,0.030815109,3,17
Japanese Grand Prix,2024,Logan SARGEANT,SAR,2,Suzuka,circuit,dry,94.9,99.79044681,37.33008,44.54339216,19.50590196,4,19,17,16.75,16.66666667,0,0,15.76666667,2.87298155,30,16.8,3.241966198,88.3685,2,0,0,0,0,6,0.2,17,1,19,96.874,0,0,21,18,0,0,0.879581152,0.258199009,-0.058648111,-2,17
Miami Grand Prix,2024,Logan SARGEANT,SAR,2,Miami,street,dry,93.452,94.81488,32.97173077,35.76823077,26.61465385,1,17,,16.8,17,0,0,15.76666667,2.87298155,30,16.8,3.241966198,88.3685,2,0,0,0,0,6,0.2,20,1,18.5,92.918,0,0,11,18,1,0,0.98245614,0.258199009,-0.061630219,,25
Monaco Grand Prix,2024,Logan SARGEANT,SAR,2,Monte Carlo,circuit,dry,75.525,80.63942466,21.26450667,37.68488,22.22024,2,15,15,16.75,17,0,0,15.76666667,2.87298155,30,16.8,3.241966198,88.3685,2,0,0,0,0,6,0.2,16.5,2,15.5,76.4135,0,0,12,18,0,0,1.112582781,0.258199009,-0.058648111,0,15
Saudi Arabian Grand Prix,2024,Logan SARGEANT,SAR,2,Jeddah,street,dry,93.026,97.17680851,36.74779167,31.0351875,31.0628125,1,19,14,16.5,16,0,0,15.76666667,2.87298155,30,16.8,3.241966198,88.3685,2,0,0,0,0,6,0.2,15,2,19,93.7475,0,0,6,18,1,0,0.879581152,0.258199009,-0.043737575,-5,14
Spanish Grand Prix,2024,Logan SARGEANT,SAR,2,Catalunya,circuit,wet,80.172,82.18642623,24.81620635,32.99880952,24.94031746,2,20,20,15.75,14.5,0,0,15.76666667,2.87298155,30,16.8,3.241966198,88.3685,2,0,0,0,0,6,0.2,20,2,20,79.7095,0,0,2,18,0,1,0.835820896,0.258199009,0.000994036,0,20
Abu Dhabi Grand Prix,2023,Max VERSTAPPEN,VER,1,Yas Marina Circuit,circuit,dry,86.993,89.31047273,18.72624561,38.43340351,32.84796491,2,1,1,0,0,0,0,2.507692308,2.114851331,65,3.268656716,3.360114038,86.82536364,1.895522388,47,0.723076923,33,0.507692308,2,0.030769231,3.5,2,3,87.379,1,0.5,22,19,0,0,2.971506106,0.32104261,0.714912281,0,1
Australian Grand Prix,2023,Max VERSTAPPEN,VER,1,Melbourne,street,dry,80.342,106.8804259,31.40229091,21.85740351,39.23041818,3,1,1,1,1,1,1,2.507692308,2.114851331,65,3.268656716,3.360114038,86.82536364,1.895522388,47,0.723076923,33,0.507692308,2,0.030769231,1.5,2,1.666666667,82.17933333,2,1,9,19,1,0,2.971506106,0.32104261,0.429824561,0,1
Austrian Grand Prix,2023,Max VERSTAPPEN,VER,1,Spielberg,circuit,wet,67.012,70.76333333,18.88531429,31.61455714,21.72824286,4,1,1,1,1,2,2,2.507692308,2.114851331,65,3.268656716,3.360114038,86.82536364,1.895522388,47,0.723076923,33,0.507692308,2,0.030769231,3,2,3,67.3655,1,0.5,20,19,0,1,2.971506106,0.32104261,0.429824561,0,1
Azerbaijan Grand Prix,2023,Max VERSTAPPEN,VER,1,Baku,street,dry,104.232,107.9746735,38.82642,43.90038,26.35554,1,2,2,1,1,3,3,2.507692308,2.114851331,65,3.268656716,3.360114038,86.82536364,1.895522388,47,0.723076923,33,0.507692308,2,0.030769231,2.666666667,3,3,104.806,2,0.666666667,1,19,1,0,1.556503198,0.32104261,0.429824561,0,2
Bahrain Grand Prix,2023,Max VERSTAPPEN,VER,1,Sakhir,circuit,dry,96.236,98.16387037,32.07514545,42.66767857,24.16158929,2,1,1,1.25,1.333333333,4,3,2.507692308,2.114851331,65,3.268656716,3.360114038,86.82536364,1.895522388,47,0.723076923,33,0.507692308,2,0.030769231,2.666666667,3,3,95.00366667,2,0.666666667,15,19,0,0,2.971506106,0.32104261,0.358552632,0,1
Belgian Grand Prix,2023,Max VERSTAPPEN,VER,1,Spa-Francorchamps,circuit,wet,108.922,111.8834146,33.2307907,48.79944186,30.40676744,2,6,1,1.2,1.333333333,5,4,2.507692308,2.114851331,65,3.268656716,3.360114038,86.82536364,1.895522388,47,0.723076923,33,0.507692308,2,0.030769231,3,3,3.666666667,107.0486667,1,0.333333333,19,19,0,1,0.535845363,0.32104261,0.372807018,-5,1
British Grand Prix,2023,Max VERSTAPPEN,VER,1,Silverstone,circuit,dry,90.275,96.826,32.00001961,39.58056863,26.84629412,1,1,1,1.2,1.333333333,5,4,2.507692308,2.114851331,65,3.268656716,3.360114038,86.82536364,1.895522388,47,0.723076923,33,0.507692308,2,0.030769231,2.666666667,3,2,89.802,2,0.666666667,17,19,0,0,2.971506106,0.32104261,0.372807018,0,1
Canadian Grand Prix,2023,Max VERSTAPPEN,VER,1,Montreal,circuit,dry,75.594,79.49322388,22.21224638,25.76486957,32.53401449,2,1,1,1.2,1,5,4,2.507692308,2.114851331,65,3.268656716,3.360114038,86.82536364,1.895522388,47,0.723076923,33,0.507692308,2,0.030769231,1.333333333,3,1.666666667,75.15,3,1,13,19,0,0,2.971506106,0.32104261,0.372807018,0,1
Dutch Grand Prix,2023,Max VERSTAPPEN,VER,1,Zandvoort,circuit,wet,73.889,82.77881538,29.58426471,29.43491549,26.06250704,6,1,1,1.2,1,5,4,2.507692308,2.114851331,65,3.268656716,3.360114038,86.82536364,1.895522388,47,0.723076923,33,0.507692308,2,0.030769231,1.666666667,3,2,73.854,3,1,23,19,0,1,2.971506106,0.32104261,0.372807018,0,1
Hungarian Grand Prix,2023,Max VERSTAPPEN,VER,1,Hungaroring,circuit,dry,80.504,83.52226866,30.6203913,29.85937681,23.58866667,2,2,1,1,1,5,5,2.507692308,2.114851331,65,3.268656716,3.360114038,86.82536364,1.895522388,47,0.723076923,33,0.507692308,2,0.030769231,5,3,4.333333333,80.32933333,1,0.333333333,3,19,0,0,1.556503198,0.32104261,0.429824561,-1,1
Italian Grand Prix,2023,Max VERSTAPPEN,VER,1,Monza,circuit,dry,85.24,86.27710204,28.5987,29.65008,28.41598,1,2,1,1,1,5,5,2.507692308,2.114851331,65,3.268656716,3.360114038,86.82536364,1.895522388,47,0.723076923,33,0.507692308,2,0.030769231,2.666666667,3,3.333333333,82.66266667,2,0.666666667,14,19,0,0,1.556503198,0.32104261,0.429824561,-1,1
Japanese Grand Prix,2023,Max VERSTAPPEN,VER,1,Suzuka,circuit,dry,94.183,102.08278,37.79290385,44.96711538,19.89848077,2,1,1,1,1,5,5,2.507692308,2.114851331,65,3.268656716,3.360114038,86.82536364,1.895522388,47,0.723076923,33,0.507692308,2,0.030769231,1,3,1,92.97666667,3,1,21,19,0,0,2.971506106,0.32104261,0.429824561,0,1
Las Vegas Grand Prix,2023,Max VERSTAPPEN,VER,1,Las Vegas,street,dry,95.614,105.2978511,30.54453061,35.17810204,41.26959184,2,3,1,1,1,5,5,2.507692308,2.114851331,65,3.268656716,3.360114038,86.82536364,1.895522388,47,0.723076923,33,0.507692308,2,0.030769231,3,2,4,95.931,1,0.5,7,19,1,0,1.054405392,0.32104261,0.429824561,-2,1
Mexico City Grand Prix,2023,Max VERSTAPPEN,VER,1,Mexico City,circuit,dry,81.644,84.46547761,30.10398529,32.90928571,22.39982857,3,3,1,1,1,5,5,2.507692308,2.114851331,65,3.268656716,3.360114038,86.82536364,1.895522388,47,0.723076923,33,0.507692308,2,0.030769231,3.333333333,3,3.333333333,81.208,2,0.666666667,10,19,0,0,1.054405392,0.32104261,0.429824561,-2,1
Miami Grand Prix,2023,Max VERSTAPPEN,VER,1,Miami,street,dry,89.708,91.82534545,31.52782143,34.77135714,25.78148214,1,9,1,1,1,5,5,2.507692308,2.114851331,65,3.268656716,3.360114038,86.82536364,1.895522388,47,0.723076923,33,0.507692308,2,0.030769231,2.333333333,3,3.666666667,90.47833333,2,0.666666667,11,19,1,0,0.359193046,0.32104261,0.429824561,-8,1
Monaco Grand Prix,2023,Max VERSTAPPEN,VER,1,Monte Carlo,circuit,wet,76.604,83.44225,22.00203896,39.68445455,22.05041558,1,1,1,1,1,5,5,2.507692308,2.114851331,65,3.268656716,3.360114038,86.82536364,1.895522388,47,0.723076923,33,0.507692308,2,0.030769231,3.666666667,3,4,75.13433333,1,0.333333333,12,19,0,1,2.971506106,0.32104261,0.429824561,0,1
Qatar Grand Prix,2023,Max VERSTAPPEN,VER,1,Lusail,circuit,dry,84.319,90.92137736,34.59123214,30.26892857,27.1105,3,1,1,1,1,5,5,2.507692308,2.114851331,65,3.268656716,3.360114038,86.82536364,1.895522388,47,0.723076923,33,0.507692308,2,0.030769231,1,2,1,83.612,2,1,8,19,0,0,2.971506106,0.32104261,0.429824561,0,1
Saudi Arabian Grand Prix,2023,Max VERSTAPPEN,VER,1,Jeddah,street,dry,91.906,95.99516667,35.95006122,30.53436735,30.96510204,1,15,2,1,1,5,5,2.507692308,2.114851331,65,3.268656716,3.360114038,86.82536364,1.895522388,47,0.723076923,33,0.507692308,2,0.030769231,1.666666667,3,5.666666667,91.98633333,3,1,6,19,1,0,0.216467332,0.32104261,0.429824561,-13,2
Singapore Grand Prix,2023,Max VERSTAPPEN,VER,1,Singapore,street,dry,96.575,103.1630667,30.37878689,43.89901639,29.14895082,1,11,5,1.2,1.333333333,5,4,2.507692308,2.114851331,65,3.268656716,3.360114038,86.82536364,1.895522388,47,0.723076923,33,0.507692308,2,0.030769231,3,3,5,96.06366667,2,0.666666667,18,19,1,0,0.294473578,0.32104261,0.372807018,-6,5
Spanish Grand Prix,2023,Max VERSTAPPEN,VER,1,Catalunya,circuit,dry,76.33,79.33884127,24.20133846,31.76309231,23.94333846,2,1,1,2,2.666666667,4,3,2.507692308,2.114851331,65,3.268656716,3.360114038,86.82536364,1.895522388,47,0.723076923,33,0.507692308,2,0.030769231,4,3,2,77.04166667,2,0.666666667,2,19,0,0,2.971506106,0.32104261,0.144736842,0,1
São Paulo Grand Prix,2023,Max VERSTAPPEN,VER,1,Interlagos,circuit,wet,73.422,76.3089697,21.128,38.96015714,18.27448571,4,1,1,2,2.666666667,4,3,2.507692308,2.114851331,65,3.268656716,3.360114038,86.82536364,1.895522388,47,0.723076923,33,0.507692308,2,0.030769231,1.666666667,3,9.666666667,75.447,3,1,5,19,0,1,2.971506106,0.32104261,0.144736842,0,1
United States Grand Prix,2023,Max VERSTAPPEN,VER,1,Austin,circuit,dry,100.028,101.376566,28.04956364,40.74441818,33.31192727,2,6,1,2,2.333333333,4,3,2.507692308,2.114851331,65,3.268656716,3.360114038,86.82536364,1.895522388,47,0.723076923,33,0.507692308,2,0.030769231,1.666666667,3,3,98.712,3,1,0,19,0,0,0.535845363,0.32104261,0.144736842,-5,1
Abu Dhabi Grand Prix,2024,Max VERSTAPPEN,VER,1,Yas Marina Circuit,circuit,dry,87.765,89.71666071,18.4927193,38.69929825,33.04707018,1,5,6,2,1,4,3,2.507692308,2.114851331,65,3.268656716,3.360114038,86.82536364,1.895522388,47,0.723076923,33,0.507692308,2,0.030769231,3.5,2,3,87.379,1,0.5,22,19,0,0,0.640913082,0.32104261,0.144736842,1,6
Australian Grand Prix,2024,Max VERSTAPPEN,VER,1,Melbourne,street,dry,83.115,83.607,29.208,18.474,35.925,0,1,,2.8,2.666666667,3,3,2.507692308,2.114851331,65,3.268656716,3.360114038,86.82536364,1.895522388,47,0.723076923,33,0.507692308,2,0.030769231,1.5,2,1.666666667,82.17933333,2,1,9,19,1,0,2.971506106,0.32104261,-0.083333333,,25
Austrian Grand Prix,2024,Max VERSTAPPEN,VER,1,Spielberg,circuit,wet,67.719,70.82574627,18.5879,31.61631429,21.48151429,3,1,5,2.25,3.5,3,3,2.507692308,2.114851331,65,3.268656716,3.360114038,86.82536364,1.895522388,47,0.723076923,33,0.507692308,2,0.030769231,3,2,3,67.3655,1,0.5,20,19,0,1,2.971506106,0.32104261,0.073464912,4,5
Azerbaijan Grand Prix,2024,Max VERSTAPPEN,VER,1,Baku,street,dry,106.798,109.4885833,40.0097,44.5993,26.1833,2,6,5,3.25,5.5,2,2,2.507692308,2.114851331,65,3.268656716,3.360114038,86.82536364,1.895522388,47,0.723076923,33,0.507692308,2,0.030769231,2.666666667,3,3,104.806,2,0.666666667,1,19,1,0,0.535845363,0.32104261,-0.211622807,-1,5
